"FeatureID","Category","Feature","Description","DateStarted","DateCompleted","Status","SourceVerified","BuildVerified","ChromeVerified","Roll20Verified","Notes"
"WB20-001","Identity and distribution","WayBeyond20 identity and branding","Renames the extension and its visible interface from Beyond20 to WayBeyond20.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Not applicable","Imported history; original start and exact completion dates were not recorded."
"WB20-002","Identity and distribution","WayBeyond20-owned update page","Opens a packaged WayBeyond20 update page instead of the Beyond20 website.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Not applicable","Imported history; original start and exact completion dates were not recorded."
"WB20-003","Identity and distribution","Private Chrome installation package","Provides a ZIP that can be installed with Chrome Developer mode and Load unpacked.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Not applicable","Imported history; original start and exact completion dates were not recorded."
"WB20-004","Identity and distribution","Installation and update guide","Documents installation updates conflict prevention and troubleshooting.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Not applicable","Imported history; original start and exact completion dates were not recorded."
"WB20-005","D&D Beyond integration","Quiet passive synchronization","Synchronizes passive sheet state without a missing-VTT error while preserving errors for actual unsent rolls.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-006","D&D Beyond integration","New-feature discovery notices","Detects newly parsed character features and displays deduplicated notices.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-007","D&D Beyond integration","Safer roll interception","Limits roll hijacking to supported D&D Beyond roll targets.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-008","D&D Beyond integration","Reinjection and observer safeguards","Prevents duplicate WayBeyond20 listeners observers and pollers and makes Bardic card updates idempotent.","Not recorded","2026-09-11","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Earlier implementation revised for v1.63; original start date was not recorded."
"WB20-009","D&D Beyond integration","Correct Game Log labels","Labels checks saves Initiative attacks healing and other rolls correctly in the D&D Beyond Game Log.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-010","D&D Beyond integration","Local and Digital Dice result handling","Handles local custom and Digital Dice results and feature callbacks.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-011","D&D Beyond integration","Critical-damage Game Log aggregation","Combines normal and critical phases into one correctly typed Game Log result.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-012","Rules foundation","Live Talent parser","Derives activation components duration concentration targeting and effect data from live D&D Beyond text.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-013","Rules foundation","Detailed targeting vocabulary","Records relationship sensory object and creature-type target requirements.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-014","Rules foundation","Known-target discovery and selection","Uses connected Roll20 turn-order creatures in supported target prompts.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-015","Rules foundation","Remote effect delivery","Delivers supported effect records to the matching open D&D Beyond target sheet.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-016","Rules foundation","Ordered weapon action pool","Separates and orders base weapon damage and added effects with semantic metadata.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-017","Rules foundation","Target-specific roll formulas","Uses destination-appropriate dice syntax for feature formulas.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-018","Effects","Persistent active-effect records","Stores supported effects per character with source duration concentration flags and mechanics.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-019","Effects","Concentration replacement","Replaces the prior tracked concentration effect when a new one begins.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-020","Effects","Buff and concentration badges","Displays contextual Buffs and Concentration information on the character sheet.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-021","Effects","Effect details and manual ending","Shows effect details and permits manual ending.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-022","Effects","Quiet local effect management","Avoids unnecessary effect-management messages in VTT chat.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-023","Effects","Armor Class adjustments","Displays reversible effect-based AC additions with their true source.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-024","Effects","Speed adjustments","Applies and displays supported effect-based speed multipliers.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-025","Effects","Haste mechanics","Supports Haste AC speed Dexterity-save Advantage and Haste Action mechanics.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-026","Effects","Hide and Stealth effect","Creates a visible effect that grants Advantage to the next qualifying attack and consumes it only after dispatch.","Not recorded","2026-09-11","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Earlier implementation revised for v1.63; original start date was not recorded."
"WB20-027","Combat","Local Combat Window","Shows Movement Action Bonus Action Reaction and optional Haste Action.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-028","Combat","Combat controls","Adds New Turn End Combat and a manual Combat Window menu command.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-029","Combat","Automatic combat start from Initiative","Starts local combat state from a qualifying Initiative roll.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-030","Combat","Activation-cost spending","Spends the correct combat resource after successful dispatch using parsed activation metadata.","Not recorded","2026-09-11","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Earlier implementation revised for v1.63; original start date was not recorded."
"WB20-031","Combat","Unavailable-resource warning","Warns about a spent resource and permits an explicit nonnegative override.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-032","Combat","Movement tracking","Displays and spends current movement including supported speed changes.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-033","Roll20","Roll20 token binding","Associates the D&D Beyond character with a selected or name-matched Roll20 token.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-034","Roll20","Roll20 turn-order synchronization","Detects character turns tracks rounds resets combat resources and prevents another open sheet from spending off-turn Actions.","Not recorded","2026-09-11","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Earlier implementation revised for v1.63; original start date was not recorded."
"WB20-035","Roll20","Roll20 target discovery","Exposes turn-order creatures to supported D&D Beyond target selection.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-036","Roll20","Roll20 resolved-damage callback","Returns resolved damage to the matching D&D Beyond sheet for dependent features.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-037","Hit Dice","Persistent Hit Dice tracker","Derives and stores remaining Hit Dice pools from current class levels.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-038","Hit Dice","Hit Dice controls","Adds minus plus and Reset controls for d6 d8 d10 and d12 pools.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-039","Hit Dice","Automatic Hit Die spending","Decrements the matching pool when a Hit Die is rolled.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-040","Hit Dice","Long Rest reset handling","Resets WayBeyond20 Hit Dice after a completed Long Rest without duplicate listeners.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-041","Feature rules","Triage Expert Bedside Manner","Rolls one extra healing die and discards the lowest while retaining the modifier.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-042","Feature rules","Triage Expert Blood and Bone","Adds Hit Die controls target-die fallback Bedside Manner integration and Action spending.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-043","Feature rules","Draining Attack qualification","Marks qualifying natural-weapon attacks without applying Draining Attack to generic Unarmed Strike Bardic damage or Agile Strikes.","Not recorded","2026-09-11","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Earlier implementation revised for v1.63; original start date was not recorded."
"WB20-044","Feature rules","Draining Attack Temporary HP","Applies resolved qualifying damage as higher-only Temporary Hit Points through local Digital Dice and Roll20 paths.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-045","Feature rules","Bardic Inspiration native use spending","Spends the correct native Bardic Inspiration use without matching unrelated controls.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-046","Feature rules","Bardic Inspiration feature card","Shows Bonus Action range die remaining uses and an Inspire button.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-047","Feature rules","Dazzling Footwork","Applies or recognizes Advantage on qualifying dancing Performance checks without redundant prompts.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-048","Feature rules","Agile Strikes continuation","Offers the optional attack and automatically chooses the strongest legal ability and damage profile.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-049","Feature rules","Savage Attacker","On Roll20 rolls the complete base weapon-damage formula twice and keeps the higher total.","Not recorded","2026-09-11","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Earlier implementation revised for v1.63; original start date was not recorded."
"WB20-050","Feature rules","Use Magic Device scroll casting","Offers and remembers an Intelligence-plus-proficiency Scrolls casting path for supported formulas.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Imported history; original start and exact completion dates were not recorded."
"WB20-051","Settings and diagnostics","Display All Current Settings","Shows valid global hidden character effect Hit Dice and combat settings.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Not applicable","Imported history; original start and exact completion dates were not recorded."
"WB20-052","Settings and diagnostics","Persistent bounded Debug Log","Optionally records bounded diagnostics across parsing rolls effects routing Game Log and callbacks.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Not applicable","Imported history; original start and exact completion dates were not recorded."
"WB20-053","Settings and diagnostics","Debug Log controls","Provides Refresh Copy Clear and Close controls.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Not applicable","Imported history; original start and exact completion dates were not recorded."
"WB20-054","Settings and diagnostics","Settings backup and restore labels","Rebrands inherited settings export and import and preserves WayBeyond20-specific settings.","Not recorded","On or before 2026-09-10","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Not applicable","Imported history; original start and exact completion dates were not recorded."
"WB20-055","Paladin","Native limited-use dispatch","Checks exact native limited-use groups before sending and marks one use only after dispatch including shared Channel Divinity pools.","2026-09-11","2026-09-11","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Added or completed for v1.63."
"WB20-056","Paladin","Lay on Hands pool handling","Reads the native numeric pool prompts for healing sends the action and reduces the pool after dispatch.","2026-09-11","2026-09-11","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Added or completed for v1.63."
"WB20-057","Paladin","Oath of the Watchers Watcher's Will","Sends only its own description spends Action and shared Channel Divinity and tracks INT WIS CHA save Advantage for one minute.","2026-09-11","2026-09-11","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Added or completed for v1.63."
"WB20-058","Paladin","Oath of the Watchers Abjure the Extraplanar","Sends only its own description with the live Wisdom save DC and spends Action and shared Channel Divinity.","2026-09-11","2026-09-11","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Added or completed for v1.63."
"WB20-059","Paladin","Oath of the Noble Genies Elemental Smite","Handles Dao Djinni Efreeti and Marid options accurately while using the shared Channel Divinity pool.","2026-09-11","2026-09-11","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Added or completed for v1.63."
"WB20-060","Paladin","Oath of the Noble Genies Elemental Rebuke","Prompts for elemental type adds Charisma to 2d10 sends the Dexterity save spends Reaction and marks the native use.","2026-09-11","2026-09-11","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Added or completed for v1.63."
"WB20-061","Paladin","Oath of the Noble Genies Noble Scion","Sends the Bonus Action marks its native use and tracks the ten-minute flight and Minor Wish reminder.","2026-09-11","2026-09-11","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Added or completed for v1.63."
"WB20-062","Spells","Utility and defensive spell casting","Adds Cast on VTT beside Display for non-damaging spells so activation and persistent effects can be tracked.","2026-09-11","2026-09-11","Implemented - live verification pending","2026-09-11","2026-09-11","Pending v1.63 live test","Pending v1.63 live test","Added or completed for v1.63."
